id,sku,Name,isActive,description,stockQuantity,purchasePrice,salePrice,categories,images,attrKey-1,attrValue-1,attrKey-2,attrValue-2,attrKey-3,attrValue-3,attrKey-4,attrValue-4,attrKey-5,attrValue-5
12,MH01-L-Gray,Chaz Kangeroo Hoodie-L-Gray,TRUE,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.  Two-tone gray heather hoodie. Drawstring-adjustable hood.  Machine wash/dry.",83,$52.00,$59.80,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,"http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_back.jpg",Size,L,Color,Gray,,,,,,
13,MH01-L-Orange,Chaz Kangeroo Hoodie-L-Orange,TRUE,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.  Two-tone gray heather hoodie. Drawstring-adjustable hood.  Machine wash/dry.",36,$52.00,$61.36,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-orange_main.jpg,Size,L,Color,Orange,,,,,,
14,MH01-XL-Black,Chaz Kangeroo Hoodie-XL-Black,TRUE,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.  Two-tone gray heather hoodie. Drawstring-adjustable hood.  Machine wash/dry.",69,$52.00,$61.88,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-black_main.jpg,Size,XL,Color,Black,,,,,,
15,MH01-XL-Gray,Chaz Kangeroo Hoodie-XL-Gray,TRUE,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.  Two-tone gray heather hoodie. Drawstring-adjustable hood.  Machine wash/dry.",43,$52.00,$57.20,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,"http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_back.jpg",Size,XL,Color,Gray,,,,,,
16,MH01-XL-Orange,Chaz Kangeroo Hoodie-XL-Orange,TRUE,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.  Two-tone gray heather hoodie. Drawstring-adjustable hood.  Machine wash/dry.",42,$52.00,$61.88,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-orange_main.jpg,Size,XL,Color,Orange,,,,,,
17,MH01,Chaz Kangeroo Hoodie,TRUE,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.  Two-tone gray heather hoodie. Drawstring-adjustable hood.  Machine wash/dry.",87,$52.00,$60.32,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,"http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_back.jpg",Size,XS|S|M|L|XL,Color,Black|Gray|Orange,,,,,,
18,MH02-XS-Black,Teton Pullover Hoodie-XS-Black,TRUE,"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.  Black pullover hoodie. Soft, brushed interior.  Front hand pockets.  Machine wash/dry.",92,$70.00,$82.60,Clothing>Men>Tops>Hoodies & Sweatshirts,"http://eimages.valtim.com/acme-images/product/m/h/mh02-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_back.jpg",Size,XS,Color,Black,,,,,,
19,MH02-XS-Purple,Teton Pullover Hoodie-XS-Purple,TRUE,"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.  Black pullover hoodie. Soft, brushed interior.  Front hand pockets.  Machine wash/dry.",36,$70.00,$78.40,Clothing>Men>Tops>Hoodies & Sweatshirts,http://eimages.valtim.com/acme-images/product/m/h/mh02-purple_main.jpg,Size,XS,Color,Purple,,,,,,
20,MH02-XS-Red,Teton Pullover Hoodie-XS-Red,TRUE,"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.  Black pullover hoodie. Soft, brushed interior.  Front hand pockets.  Machine wash/dry.",62,$70.00,$82.60,Clothing>Men>Tops>Hoodies & Sweatshirts,http://eimages.valtim.com/acme-images/product/m/h/mh02-red_main.jpg,Size,XS,Color,Red,,,,,,
21,MH02-S-Black,Teton Pullover Hoodie-S-Black,TRUE,"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.  Black pullover hoodie. Soft, brushed interior.  Front hand pockets.  Machine wash/dry.",97,$70.00,$84.00,Clothing>Men>Tops>Hoodies & Sweatshirts,"http://eimages.valtim.com/acme-images/product/m/h/mh02-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_back.jpg",Size,S,Color,Black,,,,,,
22,MH02-S-Purple,Teton Pullover Hoodie-S-Purple,TRUE,"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.  Black pullover hoodie. Soft, brushed interior.  Front hand pockets.  Machine wash/dry.",59,$70.00,$77.70,Clothing>Men>Tops>Hoodies & Sweatshirts,http://eimages.valtim.com/acme-images/product/m/h/mh02-purple_main.jpg,Size,S,Color,Purple,,,,,,
23,MH02-S-Red,Teton Pullover Hoodie-S-Red,TRUE,"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.  Black pullover hoodie. Soft, brushed interior.  Front hand pockets.  Machine wash/dry.",44,$70.00,$82.60,Clothing>Men>Tops>Hoodies & Sweatshirts,http://eimages.valtim.com/acme-images/product/m/h/mh02-red_main.jpg,Size,S,Color,Red,,,,,,
24,MH02-M-Black,Teton Pullover Hoodie-M-Black,TRUE,"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.  Black pullover hoodie. Soft, brushed interior.  Front hand pockets.  Machine wash/dry.",96,$70.00,$81.90,Clothing>Men>Tops>Hoodies & Sweatshirts,"http://eimages.valtim.com/acme-images/product/m/h/mh02-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_back.jpg",Size,M,Color,Black,,,,,,
25,MH02-M-Purple,Teton Pullover Hoodie-M-Purple,TRUE,"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.  Black pullover hoodie. Soft, brushed interior.  Front hand pockets.  Machine wash/dry.",67,$70.00,$83.30,Clothing>Men>Tops>Hoodies & Sweatshirts,http://eimages.valtim.com/acme-images/product/m/h/mh02-purple_main.jpg,Size,M,Color,Purple,,,,,,
26,MH02-M-Red,Teton Pullover Hoodie-M-Red,TRUE,"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.  Black pullover hoodie. Soft, brushed interior.  Front hand pockets.  Machine wash/dry.",84,$70.00,$77.70,Clothing>Men>Tops>Hoodies & Sweatshirts,http://eimages.valtim.com/acme-images/product/m/h/mh02-red_main.jpg,Size,M,Color,Red,,,,,,
27,MH02-L-Black,Teton Pullover Hoodie-L-Black,TRUE,"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.  Black pullover hoodie. Soft, brushed interior.  Front hand pockets.  Machine wash/dry.",49,$70.00,$84.00,Clothing>Men>Tops>Hoodies & Sweatshirts,"http://eimages.valtim.com/acme-images/product/m/h/mh02-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_back.jpg",Size,L,Color,Black,,,,,,
28,MH02-L-Purple,Teton Pullover Hoodie-L-Purple,TRUE,"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.  Black pullover hoodie. Soft, brushed interior.  Front hand pockets.  Machine wash/dry.",50,$70.00,$77.70,Clothing>Men>Tops>Hoodies & Sweatshirts,http://eimages.valtim.com/acme-images/product/m/h/mh02-purple_main.jpg,Size,L,Color,Purple,,,,,,
29,MH02-L-Red,Teton Pullover Hoodie-L-Red,TRUE,"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.  Black pullover hoodie. Soft, brushed interior.  Front hand pockets.  Machine wash/dry.",61,$70.00,$77.70,Clothing>Men>Tops>Hoodies & Sweatshirts,http://eimages.valtim.com/acme-images/product/m/h/mh02-red_main.jpg,Size,L,Color,Red,,,,,,
30,MH02-XL-Black,Teton Pullover Hoodie-XL-Black,TRUE,"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.  Black pullover hoodie. Soft, brushed interior.  Front hand pockets.  Machine wash/dry.",65,$70.00,$79.80,Clothing>Men>Tops>Hoodies & Sweatshirts,"http://eimages.valtim.com/acme-images/product/m/h/mh02-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_back.jpg",Size,XL,Color,Black,,,,,,
31,MH02-XL-Purple,Teton Pullover Hoodie-XL-Purple,TRUE,"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.  Black pullover hoodie. Soft, brushed interior.  Front hand pockets.  Machine wash/dry.",86,$70.00,$79.10,Clothing>Men>Tops>Hoodies & Sweatshirts,http://eimages.valtim.com/acme-images/product/m/h/mh02-purple_main.jpg,Size,XL,Color,Purple,,,,,,
32,MH02-XL-Red,Teton Pullover Hoodie-XL-Red,TRUE,"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.  Black pullover hoodie. Soft, brushed interior.  Front hand pockets.  Machine wash/dry.",94,$70.00,$83.30,Clothing>Men>Tops>Hoodies & Sweatshirts,http://eimages.valtim.com/acme-images/product/m/h/mh02-red_main.jpg,Size,XL,Color,Red,,,,,,
33,MH02,Teton Pullover Hoodie,TRUE,"This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.  Black pullover hoodie. Soft, brushed interior.  Front hand pockets.  Machine wash/dry.",94,$70.00,$77.70,Clothing>Men>Tops>Hoodies & Sweatshirts,"http://eimages.valtim.com/acme-images/product/m/h/mh02-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh02-black_back.jpg",Size,XS|S|M|L|XL,Color,Black|Purple|Red,,,,,,
34,MH03-XS-Black,Bruno Compete Hoodie-XS-Black,TRUE,"Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.  Full zip black hoodie pullover.  Adjustable drawstring hood.  Ribbed cuffs/waistband.  Kangaroo pocket.  Machine wash/dry.",79,$63.00,$73.71,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,"http://eimages.valtim.com/acme-images/product/m/h/mh03-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh03-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh03-black_back.jpg",Size,XS,Color,Black,,,,,,
35,MH03-XS-Blue,Bruno Compete Hoodie-XS-Blue,TRUE,"Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.  Full zip black hoodie pullover.  Adjustable drawstring hood.  Ribbed cuffs/waistband.  Kangaroo pocket.  Machine wash/dry.",71,$63.00,$73.71,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh03-blue_main.jpg,Size,XS,Color,Blue,,,,,,
36,MH03-XS-Green,Bruno Compete Hoodie-XS-Green,TRUE,"Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.  Full zip black hoodie pullover.  Adjustable drawstring hood.  Ribbed cuffs/waistband.  Kangaroo pocket.  Machine wash/dry.",60,$63.00,$74.34,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh03-green_main.jpg,Size,XS,Color,Green,,,,,,
37,MH03-S-Black,Bruno Compete Hoodie-S-Black,TRUE,"Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.  Full zip black hoodie pullover.  Adjustable drawstring hood.  Ribbed cuffs/waistband.  Kangaroo pocket.  Machine wash/dry.",32,$63.00,$75.60,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,"http://eimages.valtim.com/acme-images/product/m/h/mh03-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh03-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh03-black_back.jpg",Size,S,Color,Black,,,,,,
38,MH03-S-Blue,Bruno Compete Hoodie-S-Blue,TRUE,"Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.  Full zip black hoodie pullover.  Adjustable drawstring hood.  Ribbed cuffs/waistband.  Kangaroo pocket.  Machine wash/dry.",3,$63.00,$72.45,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh03-blue_main.jpg,Size,S,Color,Blue,,,,,,
39,MH03-S-Green,Bruno Compete Hoodie-S-Green,TRUE,"Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.  Full zip black hoodie pullover.  Adjustable drawstring hood.  Ribbed cuffs/waistband.  Kangaroo pocket.  Machine wash/dry.",85,$63.00,$73.71,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh03-green_main.jpg,Size,S,Color,Green,,,,,,
40,MH03-M-Black,Bruno Compete Hoodie-M-Black,TRUE,"Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.  Full zip black hoodie pullover.  Adjustable drawstring hood.  Ribbed cuffs/waistband.  Kangaroo pocket.  Machine wash/dry.",55,$63.00,$74.34,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,"http://eimages.valtim.com/acme-images/product/m/h/mh03-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh03-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh03-black_back.jpg",Size,M,Color,Black,,,,,,
41,MH03-M-Blue,Bruno Compete Hoodie-M-Blue,TRUE,"Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.  Full zip black hoodie pullover.  Adjustable drawstring hood.  Ribbed cuffs/waistband.  Kangaroo pocket.  Machine wash/dry.",58,$63.00,$72.45,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh03-blue_main.jpg,Size,M,Color,Blue,,,,,,
42,MH03-M-Green,Bruno Compete Hoodie-M-Green,TRUE,"Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.  Full zip black hoodie pullover.  Adjustable drawstring hood.  Ribbed cuffs/waistband.  Kangaroo pocket.  Machine wash/dry.",80,$63.00,$71.19,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh03-green_main.jpg,Size,M,Color,Green,,,,,,
43,MH03-L-Black,Bruno Compete Hoodie-L-Black,TRUE,"Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.  Full zip black hoodie pullover.  Adjustable drawstring hood.  Ribbed cuffs/waistband.  Kangaroo pocket.  Machine wash/dry.",9,$63.00,$71.82,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,"http://eimages.valtim.com/acme-images/product/m/h/mh03-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh03-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh03-black_back.jpg",Size,L,Color,Black,,,,,,
44,MH03-L-Blue,Bruno Compete Hoodie-L-Blue,TRUE,"Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.  Full zip black hoodie pullover.  Adjustable drawstring hood.  Ribbed cuffs/waistband.  Kangaroo pocket.  Machine wash/dry.",100,$63.00,$71.19,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh03-blue_main.jpg,Size,L,Color,Blue,,,,,,
45,MH03-L-Green,Bruno Compete Hoodie-L-Green,TRUE,"Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.  Full zip black hoodie pullover.  Adjustable drawstring hood.  Ribbed cuffs/waistband.  Kangaroo pocket.  Machine wash/dry.",54,$63.00,$71.19,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh03-green_main.jpg,Size,L,Color,Green,,,,,,
46,MH03-XL-Black,Bruno Compete Hoodie-XL-Black,TRUE,"Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.  Full zip black hoodie pullover.  Adjustable drawstring hood.  Ribbed cuffs/waistband.  Kangaroo pocket.  Machine wash/dry.",51,$63.00,$71.82,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,"http://eimages.valtim.com/acme-images/product/m/h/mh03-black_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh03-black_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh03-black_back.jpg",Size,XL,Color,Black,,,,,,
47,MH03-XL-Blue,Bruno Compete Hoodie-XL-Blue,TRUE,"Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.  Full zip black hoodie pullover.  Adjustable drawstring hood.  Ribbed cuffs/waistband.  Kangaroo pocket.  Machine wash/dry.",58,$63.00,$74.97,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh03-blue_main.jpg,Size,XL,Color,Blue,,,,,,
